/		CG-6 Survey
/		Survey Name:	ENDUT_12
/		Instrument Serial Number:	000000021010311
/		Created:	2021-04-10 01:26:59
/
/		CG-6 Calibration
/		Operator:	ROBBY
/		Gcal1 [mGal]:	8178.449000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030973
/		Y Scale [arc-sec/ADU]:	0.031031
/		X Offset [ADU]:	-273519.000000
/		Y Offset [ADU]:	-173957.000000
/		Temperature Coefficient [mGal/mK]:	-0.132000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.121130
/		Drift Zero Time:	1970-01-01 00:00:00
/		Firmware Version:	CG6_2_20190125
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
BASE	2021-04-10	01:26:59	4496.0443	0	0.0207	0.0027	2227.3866	0.7	0.3	1.3900	0.0638	0.0000	0.1843	2268.4095	60	0.000	-6.617955	106.301041	511.90	-6.617901	106.301186	510.7	11011
BASE	2021-04-10	01:27:59	4496.0342	0	0.0216	0.0028	2227.3756	1.1	0.7	1.3909	0.0649	0.0000	0.1840	2268.4096	60	0.000	-6.617955	106.301041	511.90	-6.617996	106.301003	508.0	11011
BASE	2021-04-10	01:28:59	4496.0333	0	0.0197	0.0025	2227.3730	0.4	-0.1	1.4057	0.0659	0.0000	0.1847	2268.4097	60	0.000	-6.617955	106.301041	511.90	-6.618024	106.300888	506.7	11011
BASE	2021-04-10	01:29:59	4496.0312	0	0.0193	0.0025	2227.3695	0.6	-1.2	1.3960	0.0669	0.0001	0.1850	2268.4098	60	0.000	-6.617955	106.301041	511.90	-6.618014	106.300926	506.7	11011
BASE	2021-04-10	01:30:59	4496.0308	0	0.0197	0.0025	2227.3675	-0.3	-0.9	1.4085	0.0680	0.0000	0.1855	2268.4099	60	0.000	-6.617955	106.301041	511.90	-6.618029	106.300919	506.7	11011
BASE	2021-04-10	01:41:30	4496.0287	0	0.0175	0.0023	2227.3499	-0.5	-1.8	1.4344	0.0787	0.0001	0.1894	2268.4108	60	0.000	-6.617955	106.301041	511.90	-6.617971	106.301071	504.1	11011
BASE	2021-04-10	01:42:30	4496.0312	0	0.0198	0.0025	2227.3512	-0.5	-1.8	1.4286	0.0797	0.0001	0.1895	2268.4108	60	0.000	-6.617955	106.301041	511.90	-6.617982	106.301056	504.0	11011
BASE	2021-04-10	01:43:30	4496.0296	0	0.0212	0.0027	2227.3483	-0.1	-1.2	1.4384	0.0807	0.0000	0.1897	2268.4109	60	0.000	-6.617955	106.301041	511.90	-6.617891	106.301056	503.4	11011
BASE	2021-04-10	01:44:30	4496.0289	0	0.0198	0.0026	2227.3465	-0.4	-1.9	1.4392	0.0817	0.0001	0.1895	2268.4110	60	0.000	-6.617955	106.301041	511.90	-6.617917	106.301056	503.9	11011
BASE	2021-04-10	01:45:30	4496.0279	0	0.0202	0.0026	2227.3445	-0.4	-1.7	1.4339	0.0827	0.0001	0.1896	2268.4111	60	0.000	-6.617955	106.301041	511.90	-6.617944	106.301041	503.5	11011
